feature,class,molecule,genomic_accession,start,end,strand,product_accession,gene_family,gene,locus_tag,feature_interval_length,product_length,strain,startC1,endC1,startC2,endC2,strandC2
CDS,with_protein,GCF_000025985.1,NC_003228.3,703415,704059,1,WP_005778522.1,MarC family protein,marC,BF9343_RS02745,645,214,Bacteroides fragilis NCTC 9343,0,644,22619,23263,0
CDS,with_protein,GCF_000025985.1,NC_003228.3,704163,705758,0,WP_010992107.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,BF9343_RS02750,1596,531,Bacteroides fragilis NCTC 9343,748,2343,20920,22515,1
CDS,with_protein,GCF_000025985.1,NC_003228.3,705770,708715,0,WP_032574916.1,SusC/RagA family TonB-linked outer membrane protein,susC,BF9343_RS02755,2946,981,Bacteroides fragilis NCTC 9343,2355,5300,17963,20908,1
CDS,with_protein,GCF_000025985.1,NC_003228.3,709232,710734,0,WP_010992109.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BF9343_RS02760,1503,500,Bacteroides fragilis NCTC 9343,5817,7319,15944,17446,1
CDS,with_protein,GCF_000025985.1,NC_003228.3,710756,713578,0,WP_032528737.1,SusC/RagA family TonB-linked outer membrane protein,susC,BF9343_RS02765,2823,940,Bacteroides fragilis NCTC 9343,7341,10163,13100,15922,1
CDS,with_protein,GCF_000025985.1,NC_003228.3,714211,715392,0,WP_005784676.1,Tsr0667 family tyrosine-type DNA invertase,xerC,BF9343_RS02770,1182,393,Bacteroides fragilis NCTC 9343,10796,11977,11286,12467,1
CDS,with_protein,GCF_000025985.1,NC_003228.3,715846,718881,1,WP_010992111.1,TonB-dependent receptor,susC,BF9343_RS02775,3036,1011,Bacteroides fragilis NCTC 9343,12431,15466,7797,10832,0
CDS,with_protein,GCF_000025985.1,NC_003228.3,718914,720413,1,WP_005796345.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BF9343_RS02780,1500,499,Bacteroides fragilis NCTC 9343,15499,16998,6265,7764,0
CDS,with_protein,GCF_000025985.1,NC_003228.3,720976,723879,1,WP_005792393.1,TonB-dependent receptor,susC,BF9343_RS02785,2904,967,Bacteroides fragilis NCTC 9343,17561,20464,2799,5702,0
CDS,with_protein,GCF_000025985.1,NC_003228.3,723914,725308,1,WP_005784686.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BF9343_RS02790,1395,464,Bacteroides fragilis NCTC 9343,20499,21893,1370,2764,0
CDS,with_protein,GCF_000025985.1,NC_003228.3,725425,726678,1,WP_005796343.1,GTPase HflX,hflX,BF9343_RS02795,1254,417,Bacteroides fragilis NCTC 9343,22010,23263,0,1253,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,135378,136637,0,WP_008759581.1,GTPase HflX,hflX,FE838_RS00765,1260,419,Bacteroides thetaiotaomicron DSM 2079,0,1259,0,1259,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,136745,138205,0,WP_008764022.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,FE838_RS00770,1461,486,Bacteroides thetaiotaomicron DSM 2079,1367,2827,1367,2827,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,138225,141104,0,WP_011108195.1,SusC/RagA family TonB-linked outer membrane protein,susC,FE838_RS00775,2880,959,Bacteroides thetaiotaomicron DSM 2079,2847,5726,2847,5726,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,141594,142094,0,WP_008759578.1,lipid-binding protein,other,FE838_RS00780,501,166,Bacteroides thetaiotaomicron DSM 2079,6216,6716,6216,6716,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,142105,142797,0,WP_011108196.1,DUF5012 domain-containing protein,other,FE838_RS00785,693,230,Bacteroides thetaiotaomicron DSM 2079,6727,7419,6727,7419,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,142825,144321,0,WP_008759577.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,FE838_RS00790,1497,498,Bacteroides thetaiotaomicron DSM 2079,7447,8943,7447,8943,0
CDS,with_protein,GCF_014131755.1,NZ_CP040530.1,144334,147288,0,WP_008759576.1,SusC/RagA family TonB-linked outer membrane protein,susC,FE838_RS00795,2955,984,Bacteroides thetaiotaomicron DSM 2079,8956,11910,8956,11910,0
